c_id,f_id
0375ff9c2d8555e88be65079d6c42df3,bbb105740f1dc26872d6a298412d6ae1
0375ff9c2d8555e88be65079d6c42df3,0efe8980788743a14b843840afeace95
0375ff9c2d8555e88be65079d6c42df3,d7f3a69fd75715dbf500284f5920908f
0375ff9c2d8555e88be65079d6c42df3,b38a6f4c264e73bb24a0d8f45b384ec0
0375ff9c2d8555e88be65079d6c42df3,7b2c850711a5e5e8a6e2b965f5f59699
0375ff9c2d8555e88be65079d6c42df3,d29f1c2a1bdac61dda12120cda77ef85
0375ff9c2d8555e88be65079d6c42df3,8ad3410c8f979f54981e0a8d298a087f
0375ff9c2d8555e88be65079d6c42df3,be28556a25f10e75e018026d3ec60ebf
0375ff9c2d8555e88be65079d6c42df3,65139ef73d12b348c614b6ab57429e97
0375ff9c2d8555e88be65079d6c42df3,54b87e1defedf211201040b888ea56b0
0375ff9c2d8555e88be65079d6c42df3,9c05004411017ddb9f30823364fefd4f
0375ff9c2d8555e88be65079d6c42df3,ae376b0c4258cf99f10cf4d47e73e4af
0375ff9c2d8555e88be65079d6c42df3,1695b0db7bfd9d583c76b314176cdc50
0375ff9c2d8555e88be65079d6c42df3,5bfae3cc59f8412e69097e9f652bd25b
0375ff9c2d8555e88be65079d6c42df3,9108e9cfb733e4a0787004ac8898bbd3
0375ff9c2d8555e88be65079d6c42df3,014ef88d23ef4cfb1fcb13a3e36189ca
0375ff9c2d8555e88be65079d6c42df3,8d86a91f7d53bcff68deeef1efdcbf33
0375ff9c2d8555e88be65079d6c42df3,826b38b5568e6bb65f64e2638dacf3be
0375ff9c2d8555e88be65079d6c42df3,6cc652f2389a825446616471c620742b
0375ff9c2d8555e88be65079d6c42df3,e7466d423c17c1fc57501fa650ac0da4
0375ff9c2d8555e88be65079d6c42df3,770c1b2d953c6781e2c9f9dbbfaa4aa0
0375ff9c2d8555e88be65079d6c42df3,4158906ff7878f930333f095b8d02405
0375ff9c2d8555e88be65079d6c42df3,284dcb94fec0c0f416b0e7429fc19f40
0375ff9c2d8555e88be65079d6c42df3,2feaae5e149680d205e54e46821849fe
0375ff9c2d8555e88be65079d6c42df3,8e37aa9d54bedaf6f08d609315297ab3
0375ff9c2d8555e88be65079d6c42df3,54982e00b909cfb9b27a068c92b44173
0375ff9c2d8555e88be65079d6c42df3,7f948e07dc0070631b6ea57aa9a712a1
